ANT1	16.78	14.26	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	14.12	3.95	270.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	-11.60	-8.90	0.00	10uF	NORDIC_NRF_3_RESC0402_N
C10	13.16	3.80	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	13.19	4.85	180.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	11.15	7.10	90.00	100nF	NORDIC_NRF_3_RESC0201_N
C13	9.67	7.00	90.00	N.C	NORDIC_NRF_3_RESC0201_N
C14	5.97	7.75	90.00	4.7µF	NORDIC_NRF_3_RESC0402_N
C15	7.42	7.51	90.00	1.0µF	NORDIC_NRF_3_RESC0402_N
C16	8.75	7.20	90.00	47nF	NORDIC_NRF_3_RESC0201_N
C17	4.60	6.30	90.00	12pF	NORDIC_NRF_3_RESC0201_N
C18	3.35	4.42	90.00	12pF	NORDIC_NRF_3_RESC0201_N
C19	0.50	0.30	0.00	100nF	NORDIC_NRF_3_RESC0201_N
C2	15.59	1.75	180.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	-22.20	-10.30	90.00	4.7uF/25V	NORDIC_NRF_3_RESC0402_N
C20	7.47	-1.55	0.00	4.7µF	NORDIC_NRF_3_RESC0402_N
C21	5.72	-2.35	270.00	4.7µF	NORDIC_NRF_3_RESC0402_N
C22	17.58	8.90	270.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	-8.75	13.07	90.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C24	-6.43	13.71	0.00	10uF	NORDIC_NRF_3_RESC0402_N
C25	-6.63	9.75	180.00	22uF	NORDIC_NRF_3_RESC0402_N
C27	-3.49	-9.03	180.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C29	9.67	-11.99	180.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C3	14.20	8.80	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	-12.25	-11.83	270.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C31	-2.39	-12.53	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C32	-0.67	-8.13	0.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C33	-5.00	10.19	270.00	22uF	NORDIC_NRF_3_RESC0402_N
C34	-2.33	-11.33	0.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C37	-1.11	3.27	90.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C38	-0.45	4.57	90.00	1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C39	-4.38	4.15	90.00	10uF	NORDIC_NRF_3_RESC0402_N
C4	16.62	8.90	270.00	1pF	NORDIC_NRF_3_RESC0201_L
C42	-2.17	10.07	270.00	0.1uF	GRM011R60J152KE01L_2_CAPC0201X13N
C43	-3.71	10.07	270.00	4.7uF	GRM011R60J152KE01L_2_CAPC0201X13N
C5	4.60	5.00	180.00	100nF	NORDIC_NRF_3_RESC0201_N
C6	4.32	-1.75	270.00	4.7µF	NORDIC_NRF_3_RESC0402_N
C7	9.64	-1.45	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C8	12.09	-1.55	180.00	100nF	NORDIC_NRF_3_RESC0201_L
C9	13.14	2.45	0.00	820pF	NORDIC_NRF_3_RESC0201_L
D2	-17.82	-15.37	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D3	-1.92	7.36	90.00	ESP32_C6_LIBRARY_3_USBLC6-2SC6Y	ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4	-18.28	-13.60	180.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
D5	-15.61	9.49	0.00	MBR0530	ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1	-10.50	3.00	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C10	-10.50	-5.90	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C11	-18.70	11.90	0.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C12	-10.30	-4.60	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C2	-10.40	4.20	180.00	1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C5	-19.90	14.30	0.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C6	-10.30	-1.10	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C7	-10.40	-2.30	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C8	-10.30	-3.30	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
EPD_C9	-15.20	-16.70	180.00	0.1uF/50V	NORDIC_NRF_3_RESC0402_N
IC1	0.63	3.16	180.00	BQ25180YBGR_BQ25180YBGR	BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2	0.03	-10.42	0.00	DRV2605YZFR_DRV2605YZFR	DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3	1.33	-1.60	0.00	BMA423_BMA423	BMA423_BMA423
IC9	-6.54	11.68	0.00	RT6160AWSC_RT6160AWSC	RT6160AWSC_BGA15C40P3X5_140X230X60
J2	20.22	-6.29	0.00	TC2030-IDC_TC2030-IDC	TC2030-IDC_TC2030IDC
J3	-13.70	0.00	270.00	503480-2400_503480-2400	503480-2400_5034802400
J4	0.67	13.88	180.00	KH-TYPE-C-16P_KH-TYPE-C-16P	KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1	15.30	10.80	0.00	3.9nH	MLP2016SR47MT0S1_INDC2016X100N
L2	11.10	12.20	90.00	10µH	MLP2016SR47MT0S1_INDC2016X100N
L3	7.37	11.28	270.00	15nH	MLP2016SR47MT0S1_INDC2016X100N
L5	-18.77	-10.01	270.00	68uH	ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7	-5.66	7.62	0.00	MLP2016SR47MT0S1_FTC252012SR47MBCA	MLP2016SR47MT0S1_INDC2016X100N
Q1	-16.45	14.49	90.00	20V/4.2A/52mΩ/1.4W	ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3	-10.89	9.89	270.00	SI1308EDL-T1-GE3	ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17	0.97	1.42	180.00	3K3	CPF0201D7K68C1_0201
R18	-0.07	1.52	270.00	3K3	CPF0201D7K68C1_0201
R1_EP_DR	-12.09	12.17	270.00	0.47	CPF0201D7K68C1_0201
R1_USB	1.47	10.37	90.00	5k1	ERA-1AEB3401C_0201
R2	-8.37	11.07	90.00	0	CPF0201D7K68C1_0201
R2_EP_DR	-10.91	12.27	270.00	10k	CPF0201D7K68C1_0201
R2_USB	-0.95	10.37	90.00	5k1	ERA-1AEB3401C_0201
R3	0.31	-3.13	90.00	0	CPF0201D7K68C1_0201
R4	-8.43	11.57	90.00	0	CPF0201D7K68C1_0201
R5	-13.37	-13.63	90.00	10k	CPF0201D7K68C1_0201
R7	8.99	-12.43	0.00	10k	CPF0201D7K68C1_0201
R8	-3.25	-12.43	0.00	10k	CPF0201D7K68C1_0201
R9	0.71	4.67	90.00	10K	CPF0201D7K68C1_0201
R_PWR_EPD	-14.31	14.57	180.00	10K	CPF0201D7K68C1_0201
R_TYPE_SEL	-11.75	15.37	270.00	2.2	CPF0201D7K68C1_0201
SJ1	-11.68	13.88	180.00		ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN	11.05	-13.86	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT	0.10	-13.83	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP	-10.89	-13.83	180.00	2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN	2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V	2.80	9.48	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_3V3	19.90	6.78	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_BAT_GND	8.80	14.88	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_GND	-21.11	9.08	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_ON	4.38	-11.53	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_OP	4.16	-8.62	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_RESET	8.17	-5.88	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SCL	-3.48	-3.02	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SDA	0.72	-5.72	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDCLK	19.79	2.26	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWDIO	18.05	-0.17	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_SWO	10.89	-3.12	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VBAT	-6.02	-10.92	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
TP_VREG	-6.14	15.93	0.00	HECTOR_WATCH_1_TPTP20R	HECTOR_WATCH_1_TP20R
U$1	9.07	2.68	0.00	NORDIC_NRF_4_NRF52840_QF	NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3	-4.03	-6.96	90.00	ESP32_C6_LIBRARY_MAX17048G+T10	ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1	16.06	4.23	270.00	32MHz	NORDIC_NRF_BT-XTAL_2016_N
X2	2.07	7.30	180.00	32.768kHz	NORDIC_NRF_1_XTAL_3215_N
